Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;B365H;B365D;B365A;B365CH;B365CD;B365CA;AvgH;AvgD;AvgA;i ;Champion;ChampionshipAchieved;Win;Home;B365WinProb;B365CWinProb;AvgWinProb;GoalDiff;Points;AbsDays;Days
D1;30.09.07;Cottbus;Ein Frankfurt;2;2;D;2.8;3.25;2.5;;;;2.68;3.21;2.46;H;0;0;0;1;0.335397317;;0.341959623;0;1;217;-217
D1;30.09.07;Hannover;Duisburg;2;1;H;1.72;3.5;5;;;;1.71;3.41;4.74;H;0;0;1;1;0.54483188;;0.536991817;1;3;217;-217
D1;05.10.07;Dortmund;Bochum;2;1;H;1.72;3.7;4.75;;;;1.77;3.37;4.45;H;0;0;1;1;0.547354324;;0.520027464;1;3;212;-212
D1;06.10.07;Bielefeld;Hamburg;0;1;A;3.2;3.25;2.25;;;;3.05;3.22;2.23;H;0;0;0;1;0.293527346;;0.30166659;-1;0;211;-211
D1;06.10.07;Duisburg;Werder Bremen;1;3;A;5.5;3.8;1.61;;;;5.01;3.47;1.67;H;0;0;0;1;0.170546093;;0.183695077;-2;0;211;-211
D1;06.10.07;Hertha;Cottbus;0;0;D;1.4;4.33;8.5;;;;1.42;4.05;7.27;H;0;0;0;1;0.672028776;;0.646855413;0;1;211;-211
D1;06.10.07;Schalke 04;Karlsruhe;0;2;A;1.4;4.33;8.5;;;;1.42;4.04;7.32;H;0;0;0;1;0.672028776;;0.647050586;-2;0;211;-211
D1;06.10.07;Stuttgart;Hannover;0;2;A;1.72;3.6;4.75;;;;1.71;3.43;4.75;H;0;0;0;1;0.543512809;;0.538056096;-2;0;211;-211
D1;06.10.07;Wolfsburg;Hansa Rostock;1;0;H;1.72;3.6;4.75;;;;1.74;3.39;4.63;H;0;0;1;1;0.543512809;;0.529357009;1;3;211;-211
D1;07.10.07;Bayern Munich;Nurnberg;3;0;H;1.18;6.5;16;;;;1.2;5.65;12.9;H;1;0;1;1;0.796629644;;0.766041305;3;3;210;-210
D1;07.10.07;Ein Frankfurt;Leverkusen;2;1;H;2.7;3.25;2.62;;;;2.61;3.2;2.56;H;0;0;1;1;0.349491052;;0.352714246;1;3;210;-210
D1;19.10.07;Cottbus;Duisburg;1;2;A;2;3.4;3.75;;;;1.99;3.3;3.6;H;0;0;0;1;0.471349353;;0.463863184;-1;0;198;-198
D1;20.10.07;Bochum;Bayern Munich;1;2;A;8;4.5;1.4;;;;7.06;4.03;1.43;H;0;0;0;1;0.117757009;;0.13005721;-1;0;197;-197
D1;20.10.07;Hamburg;Stuttgart;4;1;H;2.2;3.25;3.25;;;;2.06;3.23;3.43;H;0;0;1;1;0.424836601;;0.44675686;3;3;197;-197
D1;20.10.07;Hansa Rostock;Schalke 04;1;1;D;4.5;3.5;1.8;;;;4.28;3.34;1.8;H;0;0;0;1;0.208955224;;0.214628434;0;1;197;-197
D1;20.10.07;Leverkusen;Dortmund;2;2;D;1.85;3.5;4.2;;;;1.84;3.3;4.13;H;0;0;0;1;0.507859734;;0.499227112;0;1;197;-197
D1;20.10.07;Nurnberg;Ein Frankfurt;5;1;H;2.1;3.3;3.5;;;;2.09;3.22;3.35;H;0;0;1;1;0.447154472;;0.439957093;4;3;197;-197
